time,vwap,SMA(5),SMA(10),12dayEWM,rsi,MACD,mom,mfi,spread
2022-03-31 13:00:00,1.569692086519788,3.5563536917645306,3.5119045803338005,3.5424672669396577,1.616932790366625,0.707725130919961,1.3823001963999957,5.576712010892621,92.28403714289999
2022-03-31 14:00:00,1.5696208134513385,3.5562549505395635,3.531548300774848,3.5446260197406474,1.5306204595541704,0.6816152207638595,1.126861803900006,-5.3350261768584915,92.06460773520001
2022-03-31 15:00:00,1.5695473414982621,3.5456120621318017,3.5422245167317907,3.547281023673911,1.4535126100800342,0.6328832345804045,1.1525694875000028,-2.3601050019473817,91.80752770039999
2022-03-31 16:00:00,1.5693476237817545,3.5500374213178554,3.546852092011038,3.547504451688269,1.2584426817757097,0.5300687276426359,0.7938425113000065,-0.3518421385182222,91.0877040291
2022-03-31 17:00:00,1.5693540407280364,3.5505864259870235,3.548375179931429,3.5478911748574475,1.2602075135401447,0.4434905066646735,-0.11267328140001354,-0.6914994821319311,91.0878936275
2022-03-31 18:00:00,1.5693542140172836,3.5494857544317195,3.5529300724441892,3.548328144000259,1.2723881833010515,0.3721529547421696,-0.9851097876999901,-11.696224512818006,91.1073040586
2022-03-31 19:00:00,1.5693542449828208,3.550404318857697,3.5533402314225695,3.5500651669352123,1.292778723050553,0.31439140112949104,-1.5329991982000024,-14.05933493905556,91.1370231043
2022-04-01 08:00:00,1.5693545489715879,3.542497853856245,3.542368133454504,3.540206408614673,1.213357146937569,0.21840434978531675,-0.44929789910000295,-11.60125785202655,91.4280158347
2022-04-01 09:00:00,1.5693544975872333,3.544529109195907,3.5432129591887884,3.54658712753901,1.1503184377925322,0.19470978486759805,-1.0103596174999936,-16.407045899502485,91.1960966234
2022-04-01 10:00:00,1.5692596279487803,3.5454345535461846,3.543677536990036,3.5487930461468884,1.034773540219765,0.1432377878822777,-1.1877826134999836,-8.293121324307933,90.8113885359
2022-04-01 11:00:00,1.5691728506162628,3.5555950330767425,3.5503424294460806,3.5674451770744415,1.0758490831047496,0.08862451994699683,-1.591891500999992,0.10589012847725598,90.6527632958
2022-04-01 12:00:00,1.5691231836973436,3.574614426115635,3.558306279066505,3.5805443610718832,1.124200478558369,0.049880605319089,-1.3435633344000024,0.10216472430575152,90.7161216075
2022-04-01 13:00:00,1.5690833871620442,3.5906572081304247,3.566322857070038,3.596646988507511,1.4530820076503628,0.055616710012103,-0.4792469412999978,0.09657890415456905,91.1756741679
2022-04-01 14:00:00,1.569053010423755,3.6058619817854614,3.574795494662886,3.6093790978735583,1.576785010906678,0.07232708847630676,0.46565807430000206,12.328717294344585,91.3367591997
2022-04-01 15:00:00,1.569016119606585,3.6191162462084714,3.581743814123682,3.6123343633174816,1.3648762699117774,0.09140917785907021,0.3442298878000045,15.827599999026944,91.42217947290001
2022-04-01 16:00:00,1.5689168582538444,3.622152810991003,3.5885026574821106,3.6152112160182,1.4599014992559571,0.14062469582835746,0.7573737061999992,12.654017962333334,91.86477622070001
2022-04-01 17:00:00,1.568915282287383,3.624275619328735,3.5992827403455516,3.6161026591789818,1.4193332655718858,0.16902184695724998,0.6696821701000033,10.690558926716996,91.7574773417
2022-04-01 18:00:00,1.5689153361009178,3.620354251328888,3.605478183000807,3.6139857932305466,1.3255266271038482,0.18306092898293258,0.5416895452000006,10.701633604699097,91.6787126495
2022-04-04 08:00:00,1.56892098145354,3.613065167637468,3.6175887797706907,3.611008879200502,1.2498835430032906,0.22668243932417909,0.6082389321999884,10.754743161865669,91.80433555559999
2022-04-04 09:00:00,1.5689209249390883,3.610235962938492,3.617226383131784,3.608580089842046,1.223948968937271,0.21996918268327192,0.8860127137999996,10.728914414766571,91.6974012497
2022-04-04 10:00:00,1.5688835041246332,3.5954200213885743,3.607827840192832,3.584344074030873,0.7985487341303943,0.1388722284001176,0.12538764509999822,-2.1222049063493174,90.77815094089999
2022-04-04 11:00:00,1.5688103970585086,3.5782542880997803,3.598314154597396,3.5696200336818067,0.7975916790900951,0.07006945314809343,0.015864234399998622,-18.070622000370946,90.7319858419
2022-04-04 12:00:00,1.5687480551269515,3.562259323162375,3.5891847767148066,3.5556011244818952,0.8313163356395841,0.02531412641162234,-0.3189768502000021,-20.749615735909984,90.8566973177
2022-04-04 13:00:00,1.5687214255515474,3.5473815701795353,3.579955706313503,3.546728769436901,0.8132245615239838,-0.018554899060113428,-0.586813902800003,-43.739309928502315,90.7499452969
2022-04-04 14:00:00,1.5686794752621378,3.5321820619419864,3.5708295279978013,3.5400535526343337,0.837918162430654,-0.045450217852362584,-0.5811804077000033,-37.95614671064308,90.84099906520001
2022-04-04 15:00:00,1.5686161684504267,3.532488046826758,3.563699117664391,3.5394451827744606,0.9148220162242081,-0.04913827582064556,-0.812352032299998,-49.96263317063983,91.05242418840001
