,time,open,high,low,close,volume
2467,2021-03-24 11:00:00,87.8803466756,87.9760769008,87.2581002122,87.5357178651,178187
2466,2021-03-24 12:00:00,87.5357178651,88.0718071259,87.3969090387,88.0622341034,240865
2465,2021-03-24 13:00:00,88.110099216,88.129245261,87.4112685725,87.5596504214,163266
2464,2021-03-24 14:00:00,87.5452908876,87.6027290227,86.9996286044,87.2581002122,211109
2463,2021-03-24 15:00:00,87.2485271897,88.0622341034,87.1336509196,87.9186387657,191077
2462,2021-03-24 16:00:00,87.8994927207,88.6557614992,87.8612006306,88.0143689908,420105
2461,2021-03-24 17:00:00,88.0239420133,88.0239420133,88.0239420133,88.0239420133,238587
2460,2021-03-25 09:00:00,87.9760769008,88.0813801484,87.9760769008,88.0718071259,556
2459,2021-03-25 10:00:00,88.3111326887,88.9525251972,88.2632675762,88.7897838144,235862
2458,2021-03-25 11:00:00,88.7897838144,90.2448832365,88.4738740715,90.0917148763,352510
2457,2021-03-25 12:00:00,90.0725688313,90.5416469344,89.7949511784,89.9768386061,309730
2456,2021-03-25 13:00:00,89.9816251174,90.086928365,89.2492888951,89.5508391043,258085
2455,2021-03-25 14:00:00,89.5508391043,89.7758051333,89.0865475123,89.2732214514,201685
2454,2021-03-25 15:00:00,89.2875809851,89.3354460977,88.7227726568,88.986030776,165593
2453,2021-03-25 16:00:00,88.9908172872,89.5364795705,88.8855140396,89.2205698275,535205
2452,2021-03-25 17:00:00,89.210996805,89.210996805,89.210996805,89.210996805,28175
2451,2021-03-26 10:00:00,89.0482554223,89.2492888951,88.420935257,88.6270424317,71397
2450,2021-03-26 11:00:00,88.5791773191,88.7131996343,87.5261448426,88.2728405987,110366
2449,2021-03-26 12:00:00,88.2393350199,88.5312164763,87.9856499233,88.3877168688,113965
2448,2021-03-26 13:00:00,88.3877168688,88.6653345217,88.0430880584,88.6653345217,103199
2447,2021-03-26 14:00:00,88.6461884767,88.6461884767,88.3111326887,88.5504582516,91030
2446,2021-03-26 15:00:00,88.5552447628,89.0291093773,88.4547280264,88.6366154542,144955
2445,2021-03-26 16:00:00,88.6653345217,89.2780079626,88.5600312741,89.0578284448,316408
2444,2021-03-26 17:00:00,89.0578284448,89.0578284448,89.0578284448,89.0578284448,34838
2443,2021-03-29 10:00:00,89.1152665799,89.8236702459,89.0099633322,89.6417828181,70396
2442,2021-03-29 11:00:00,89.5604121268,89.7470860658,89.1391991362,89.7470860658,79367
2441,2021-03-29 12:00:00,89.7231535095,90.4650627543,89.7231535095,90.1395799889,122123
2440,2021-03-29 13:00:00,90.1204339438,90.5129278669,90.1012878988,90.3597595067,82819
2439,2021-03-29 14:00:00,90.3023213716,90.7713994748,90.0390632525,90.6517366933,169644
2438,2021-03-29 15:00:00,90.6363241271,91.0729496839,90.4937818219,90.9149948125,99269
2437,2021-03-29 16:00:00,90.9724329475,91.0011520151,90.4363436868,90.7331073847,255836
2436,2021-03-29 17:00:00,90.7426804072,90.7426804072,90.7426804072,90.7426804072,23442
2435,2021-03-30 10:00:00,90.3214674166,90.4937818219,89.7470860658,89.9959846511,60962
2434,2021-03-30 11:00:00,90.0247037187,90.235310214,89.3928842328,89.3928842328,125810
2433,2021-03-30 12:00:00,89.4120302778,89.5747716605,88.6653345217,88.9620982197,111538
2432,2021-03-30 13:00:00,88.9908172872,89.3354460977,88.8663679945,89.3354460977,61054
2431,2021-03-30 14:00:00,89.3354460977,89.6896479307,89.3163000527,89.6896479307,51942
2430,2021-03-30 15:00:00,89.6130637506,89.6226367731,89.210996805,89.4981874804,81979
2429,2021-03-30 16:00:00,89.507760503,89.6130637506,89.0674014673,89.4120302778,234300
2428,2021-03-30 17:00:00,89.4024572553,89.4024572553,89.4024572553,89.4024572553,27939
2427,2021-03-31 10:00:00,89.2875809851,89.6274232844,88.9525251972,89.2580003456,55598
2426,2021-03-31 11:00:00,89.2435450816,89.507760503,89.0195363548,89.3354460977,64552
2425,2021-03-31 12:00:00,89.2971540076,89.4216033003,89.0674014673,89.3450191202,72321
2424,2021-03-31 13:00:00,89.3737381878,89.4311763228,89.2301428501,89.3641651652,57020
2423,2021-03-31 14:00:00,89.3450191202,89.6417828181,89.3163000527,89.6130637506,52603
2422,2021-03-31 15:00:00,89.5364795705,89.5939177056,89.210996805,89.3163000527,68156
2421,2021-03-31 16:00:00,89.3210865639,89.8523893134,89.0291093773,89.6705018857,281378
2420,2021-03-31 17:00:00,89.5939177056,89.5939177056,89.5939177056,89.5939177056,125860
2419,2021-03-31 20:00:00,89.6705018857,89.6705018857,89.6705018857,89.6705018857,100
2418,2021-04-01 09:00:00,89.5939177056,89.5939177056,89.5939177056,89.5939177056,400
2417,2021-04-01 10:00:00,89.3450191202,89.4838279467,88.6557614992,88.6653345217,76353
2416,2021-04-01 11:00:00,88.6796940555,88.9672676518,88.1771103735,88.5169526728,147518
2415,2021-04-01 12:00:00,88.5504582516,89.4120302778,88.5408852291,89.397670744,136027
2414,2021-04-01 13:00:00,89.3833112103,89.3834069405,89.024322866,89.172704715,78102
2413,2021-04-01 14:00:00,89.2684349401,89.3928842328,89.0195363548,89.1104800686,74048
2412,2021-04-01 15:00:00,89.0195363548,89.0865475123,88.7036266118,88.7993568369,58658
2411,2021-04-01 16:00:00,88.8137163707,89.3641651652,88.7754242807,89.3258730752,218452
2410,2021-04-01 17:00:00,89.3354460977,89.3354460977,89.3354460977,89.3354460977,19916
2409,2021-04-05 10:00:00,89.3450191202,89.8140972234,89.1391991362,89.6896479307,64487
2408,2021-04-05 11:00:00,89.7183669983,90.273602304,89.5556256155,90.254456259,96296
2407,2021-04-05 12:00:00,90.2831753266,90.3884785742,89.9481195386,90.1108609213,127723
2406,2021-04-05 13:00:00,90.1491530114,90.2257371915,89.8140972234,89.9385465161,56474
2405,2021-04-05 14:00:00,89.9385465161,90.1108609213,89.4981874804,89.6130637506,60064
2404,2021-04-05 15:00:00,89.6034907281,89.7805916446,89.4311763228,89.6177545316,75550
2403,2021-04-05 16:00:00,89.6226367731,89.8906814035,89.5747716605,89.8045242009,205199
2402,2021-04-05 17:00:00,89.8045242009,89.8045242009,89.8045242009,89.8045242009,62972
2401,2021-04-06 10:00:00,89.3163000527,89.4646819016,88.5600312741,88.7897838144,83045
2400,2021-04-06 11:00:00,88.7897838144,89.3498056315,88.7706377694,89.2349293613,76498
2399,2021-04-06 12:00:00,89.2588619176,89.6226367731,89.2492888951,89.3928842328,69480
2398,2021-04-06 13:00:00,89.3833112103,89.7279400208,89.3258730752,89.6609288632,54634
2397,2021-04-06 14:00:00,89.6800749082,89.9098274485,89.6609288632,89.6705018857,56039
2396,2021-04-06 15:00:00,89.5987042168,89.7566590883,89.4503223679,89.565198638,64668
2395,2021-04-06 16:00:00,89.5604121268,89.8236702459,89.4981874804,89.7662321108,174930
2394,2021-04-06 17:00:00,89.7949511784,89.7949511784,89.7949511784,89.7949511784,25823
863,2021-04-07 10:00:00,89.9672655836,90.4650627543,89.8428162909,89.8954679148,68197
862,2021-04-07 11:00:00,89.8524850437,90.1587260339,89.3928842328,89.4694684129,83955
861,2021-04-07 12:00:00,89.4311763228,89.6322097956,89.0769744898,89.3258730752,94876
860,2021-04-07 13:00:00,89.3163000527,89.4455358566,89.0769744898,89.2301428501,104384
859,2021-04-07 14:00:00,89.2492888951,89.4120302778,89.1111501802,89.2492888951,70162
858,2021-04-07 15:00:00,89.2684349401,89.3163000527,88.9429521746,89.0195363548,104067
857,2021-04-07 16:00:00,89.0386823998,89.5364795705,88.9812442647,89.4216033003,303187
856,2021-04-07 17:00:00,89.4311763228,89.4311763228,89.4311763228,89.4311763228,37796
855,2021-04-08 10:00:00,89.8140972234,90.0342767412,89.210996805,89.3928842328,81759
854,2021-04-08 11:00:00,89.3498056315,89.526906548,88.8089298595,89.2301428501,102297
853,2021-04-08 12:00:00,89.2492888951,89.3915440096,88.9238061296,89.0961205349,67076
852,2021-04-08 13:00:00,89.0961205349,89.3450191202,89.0291093773,89.1152665799,73780
851,2021-04-08 14:00:00,89.1439856474,89.3545921427,89.0386823998,89.2014237825,128780
850,2021-04-08 15:00:00,89.210996805,89.4216033003,89.0674014673,89.3737381878,70229
849,2021-04-08 16:00:00,89.3737381878,89.3833112103,88.8280759045,88.8855140396,290013
848,2021-04-08 17:00:00,88.8950870621,88.8950870621,88.8950870621,88.8950870621,12480
847,2021-04-08 18:00:00,88.8950870621,88.8950870621,88.8950870621,88.8950870621,1195
846,2021-04-09 10:00:00,88.8089298595,89.2971540076,88.5504582516,88.8280759045,119063
845,2021-04-09 11:00:00,88.837648927,89.043468911,88.5313122066,88.6653345217,118864
844,2021-04-09 12:00:00,88.6270424317,88.7610647469,88.4068629139,88.502593139,91860
843,2021-04-09 13:00:00,88.483447094,88.5696042966,88.2058294411,88.2919866437,104406
842,2021-04-09 14:00:00,88.2297619974,88.521739184,88.2249754861,88.3398517563,98695
