,time,open,high,low,close,volume
1892,2022-06-03 14:00:00,91.8756108015,92.1535705101,91.7198540934,91.7366309473,53449
1891,2022-06-03 15:00:00,91.7068495499,92.0394084869,91.6373596228,91.926239177,54251
1890,2022-06-03 16:00:00,91.9649549936,91.9649549936,91.3593999143,91.6274324904,221718
1889,2022-06-03 17:00:00,91.6274324904,91.6274324904,91.6274324904,91.6274324904,18487
1888,2022-06-06 10:00:00,91.8458294042,92.2329875697,91.4487441063,91.9550278611,41836
1887,2022-06-06 11:00:00,91.9550278611,92.3719674239,91.8557565366,92.1436433776,63313
1886,2022-06-06 12:00:00,92.0443720532,92.3322588941,91.9153193313,91.9649549936,63377
1885,2022-06-06 13:00:00,91.9550278611,92.0145906558,91.4884526361,91.7068495499,38211
1884,2022-06-06 14:00:00,91.7465580797,91.8359022718,91.5877239606,91.6969224175,46398
1883,2022-06-06 15:00:00,91.6522503215,91.8061208744,91.5777968281,91.7167766824,56502
1882,2022-06-06 16:00:00,91.7068495499,91.8061208744,91.5182340334,91.597651093,180314
1881,2022-06-06 17:00:00,91.6075782255,91.6075782255,91.6075782255,91.6075782255,22468
1880,2022-06-07 10:00:00,91.4685983712,91.5579425632,90.9474239177,91.041731676,49734
1879,2022-06-07 11:00:00,91.0963309044,91.160757994,90.6049378483,90.9871324475,65603
1878,2022-06-07 12:00:00,90.9722417488,91.4139991427,90.9027518217,91.0218774111,60807
1877,2022-06-07 13:00:00,91.0516588084,91.0963309044,90.6496099443,90.9573510502,49987
1876,2022-06-07 14:00:00,90.9623146164,91.3395456494,90.9623146164,91.2253836262,57371
1875,2022-06-07 15:00:00,91.1906386627,91.597651093,91.1707843978,91.4388169739,67490
1874,2022-06-07 16:00:00,91.4288898414,92.2131333048,91.2899099871,92.1436433776,279205
1873,2022-06-07 17:00:00,92.1634976425,92.1634976425,92.1634976425,92.1634976425,36445
1872,2022-06-08 10:00:00,91.8061208744,91.8061208744,91.22042006,91.4884526361,32429
1871,2022-06-08 11:00:00,91.4884526361,91.7763394771,91.4388169739,91.597651093,57234
1870,2022-06-08 12:00:00,91.6215754822,91.6770681526,91.3693270467,91.4586712387,66761
1869,2022-06-08 13:00:00,91.4785255036,91.5480154308,91.1410030004,91.2055293613,68282
1868,2022-06-08 14:00:00,91.1707843978,91.1707843978,90.5751564509,90.6247921132,97469
1867,2022-06-08 15:00:00,90.5950107158,90.6148649807,89.9894556365,90.0787998285,108904
1866,2022-06-08 16:00:00,90.0688726961,90.3627158165,89.8604029147,89.9497471067,290498
1865,2022-06-08 17:00:00,89.9596742392,89.9596742392,89.9596742392,89.9596742392,68655
1864,2022-06-08 18:00:00,89.9596742392,89.9596742392,89.9596742392,89.9596742392,823
1863,2022-06-09 10:00:00,90.0986540934,90.6744277754,89.6022974711,90.6744277754,39352
1862,2022-06-09 11:00:00,90.6843549078,90.7240634376,89.6072610373,89.7539840549,82150
1861,2022-06-09 12:00:00,89.7909129876,89.8504757823,89.4533904844,89.4633176168,62368
1860,2022-06-09 13:00:00,89.4533904844,89.5328075439,89.1456493785,89.4930990141,60353
1859,2022-06-09 14:00:00,89.4831718817,89.5427346764,88.9669609944,89.0761594514,57550
1858,2022-06-09 15:00:00,89.0612687527,89.0612687527,88.5897299614,88.7783454779,60052
1857,2022-06-09 16:00:00,88.758491213,88.8279811402,87.1304414916,87.1502957565,345393
1856,2022-06-09 17:00:00,87.1800771539,87.1800771539,87.1800771539,87.1800771539,41271
1855,2022-06-10 10:00:00,86.3759794256,86.7135019288,86.02852979,86.5770038577,103488
1854,2022-06-10 11:00:00,86.5348135448,86.6489755679,86.0186026575,86.2866352336,125332
1853,2022-06-10 12:00:00,86.2767081012,86.9517531076,86.1774367767,86.782991856,81690
1852,2022-06-10 13:00:00,86.827663952,87.3587655379,86.8028461209,87.1850407201,105382
1851,2022-06-10 14:00:00,87.1900042863,87.4282554651,86.9815345049,87.070878697,79009
1850,2022-06-10 15:00:00,87.0808058294,87.626798114,86.8624089156,87.5970167167,178633
1849,2022-06-10 16:00:00,87.6168709816,88.093373339,87.3488384055,87.3488384055,450227
1848,2022-06-10 17:00:00,87.3885469353,87.3885469353,87.3885469353,87.3885469353,24617
